transaction_date,brand_name,outlet_name,no_of_ads,ad_spend,clicks,impressions,reach,year_month
2020-03-02,Louvré,Louvré,1,3.75,4.0,969.0,955.0,2020-03
2020-03-02,Pizzeria,Pizzeria - Central,9,44.349999999999994,92.0,9988.0,9660.0,2020-03
2020-03-02,The Brunch Place,The Brunch Place - Central,4,30.91,70.0,6620.0,6429.0,2020-03
2020-03-03,Louvré,Louvré,1,3.52,2.0,925.0,913.0,2020-03
2020-03-03,Pizzeria,Pizzeria - Central,9,45.56,127.0,14655.0,14167.0,2020-03
2020-03-03,The Brunch Place,The Brunch Place - Central,4,28.6,82.0,6873.0,6647.0,2020-03
2020-03-04,Louvré,Louvré,1,3.45,5.0,981.0,969.0,2020-03
2020-03-04,Pizzeria,Pizzeria - Central,9,44.59,131.0,17629.0,17101.0,2020-03
2020-03-04,The Brunch Place,The Brunch Place - Central,2,8.74,24.0,1329.0,1239.0,2020-03
2020-03-05,Louvré,Louvré,2,6.71,48.0,2596.0,2548.0,2020-03
2020-03-05,Pizzeria,Pizzeria - Central,9,44.51,106.0,12279.0,11812.0,2020-03
2020-03-05,The Brunch Place,The Brunch Place - Central,2,8.27,15.0,1256.0,1172.0,2020-03
2020-03-06,Louvré,Louvré,3,11.89,97.0,4800.0,4683.0,2020-03
2020-03-06,Pizzeria,Pizzeria - Central,9,45.07,121.0,14443.0,14065.0,2020-03
2020-03-06,The Beach,The Beach,1,2.71,24.0,335.0,312.0,2020-03
2020-03-06,The Brunch Place,The Brunch Place - Central,2,8.65,18.0,1254.0,1186.0,2020-03
2020-03-07,Louvré,Louvré,3,13.190000000000001,85.0,4507.0,4420.0,2020-03
2020-03-07,Pizzeria,Pizzeria - Central,9,42.620000000000005,101.0,13316.0,12975.0,2020-03
2020-03-07,The Beach,The Beach,1,3.97,17.0,549.0,510.0,2020-03
2020-03-07,The Brunch Place,The Brunch Place - Central,3,22.25,51.0,4187.0,4044.0,2020-03
2020-03-08,Louvré,Louvré,3,11.66,59.0,3365.0,3295.0,2020-03
2020-03-08,Pizzeria,Pizzeria - Central,11,30.759999999999998,68.0,7687.0,7477.0,2020-03
2020-03-08,The Beach,The Beach,1,3.77,8.0,456.0,434.0,2020-03
2020-03-08,The Brunch Place,The Brunch Place - Central,3,19.54,40.0,3085.0,2942.0,2020-03
2020-03-09,Louvré,Louvré,2,9.99,70.0,2994.0,2934.0,2020-03
2020-03-09,Pizzeria,Pizzeria - Central,11,38.410000000000004,92.0,8029.0,7775.0,2020-03
2020-03-09,The Beach,The Beach,1,3.79,15.0,379.0,361.0,2020-03
2020-03-09,The Brunch Place,The Brunch Place - Central,2,21.240000000000002,51.0,3633.0,3486.0,2020-03
2020-03-10,Louvré,Louvré,2,9.66,59.0,3297.0,3232.0,2020-03
2020-03-10,Pizzeria,Pizzeria - Central,11,51.19,101.0,12375.0,11944.0,2020-03
2020-03-10,The Beach,The Beach,1,3.84,14.0,401.0,383.0,2020-03
2020-03-10,The Brunch Place,The Brunch Place - Central,2,7.72,21.0,1088.0,1004.0,2020-03
2020-03-11,Louvré,Louvré,2,9.600000000000001,56.0,3037.0,2993.0,2020-03
2020-03-11,Pizzeria,Pizzeria - Central,11,49.629999999999995,100.0,11418.0,11007.0,2020-03
2020-03-11,The Beach,The Beach,2,4.71,10.0,520.0,491.0,2020-03
2020-03-11,The Brunch Place,The Brunch Place - Central,1,5.56,5.0,640.0,587.0,2020-03
2020-03-12,Louvré,Louvré,2,9.370000000000001,37.0,2202.0,2165.0,2020-03
2020-03-12,Pizzeria,Pizzeria - Central,11,46.83,91.0,8956.0,8702.0,2020-03
2020-03-12,The Beach,The Beach,2,9.29,16.0,803.0,674.0,2020-03
2020-03-12,The Brunch Place,The Brunch Place - Central,1,5.55,10.0,503.0,463.0,2020-03
2020-03-13,Louvré,Louvré,2,9.64,39.0,2317.0,2293.0,2020-03
2020-03-13,Pizzeria,Pizzeria - Central,13,48.15,65.0,7490.0,7307.0,2020-03
2020-03-13,The Beach,The Beach,2,9.129999999999999,11.0,690.0,597.0,2020-03
2020-03-13,The Brunch Place,The Brunch Place - Central,1,5.64,5.0,505.0,468.0,2020-03
2020-03-14,Louvré,Louvré,2,10.56,61.0,3680.0,3630.0,2020-03
2020-03-14,Pizzeria,Pizzeria - Central,13,50.62,93.0,11583.0,11300.0,2020-03
2020-03-14,The Beach,The Beach,2,8.75,8.0,1050.0,883.0,2020-03
2020-03-14,The Brunch Place,The Brunch Place - Central,1,6.23,14.0,780.0,728.0,2020-03
2020-03-15,Louvré,Louvré,2,7.51,56.0,2402.0,2364.0,2020-03
2020-03-15,Pizzeria,Pizzeria - Central,13,49.81,96.0,10953.0,10596.0,2020-03
2020-03-15,The Beach,The Beach,2,8.61,11.0,1179.0,968.0,2020-03
2020-03-15,The Brunch Place,The Brunch Place - Central,2,15.07,38.0,2037.0,1946.0,2020-03
2020-03-16,Louvré,Louvré,1,3.08,12.0,687.0,680.0,2020-03
2020-03-16,Pizzeria,Pizzeria - Central,13,51.08,90.0,9375.0,9052.0,2020-03
2020-03-16,The Beach,The Beach,2,7.89,16.0,1074.0,892.0,2020-03
2020-03-16,The Brunch Place,The Brunch Place - Central,2,19.93,48.0,2687.0,2571.0,2020-03
2020-03-17,Pizzeria,Pizzeria - Central,13,51.56,104.0,11385.0,10999.0,2020-03
2020-03-17,The Beach,The Beach,1,3.84,20.0,540.0,502.0,2020-03
2020-03-17,The Brunch Place,The Brunch Place - Central,2,9.99,23.0,1595.0,1546.0,2020-03
2020-03-18,Pizzeria,Pizzeria - Central,13,50.60999999999999,100.0,12054.0,11611.0,2020-03
2020-03-18,The Beach,The Beach,1,3.68,7.0,526.0,471.0,2020-03
2020-03-19,Pizzeria,Pizzeria - Central,13,50.879999999999995,118.0,10400.0,10029.0,2020-03
2020-03-19,The Beach,The Beach,2,6.71,15.0,784.0,748.0,2020-03
2020-03-20,Pizzeria,Pizzeria - Central,13,43.14,77.0,9168.0,8852.0,2020-03
2020-03-20,The Beach,The Beach,2,8.56,18.0,971.0,923.0,2020-03
2020-03-21,Louvré,Louvré,1,2.97,17.0,1778.0,1745.0,2020-03
2020-03-21,Pizzeria,Pizzeria - Central,13,18.2,35.0,3957.0,3813.0,2020-03
2020-03-21,The Beach,The Beach,3,9.99,28.0,1776.0,1722.0,2020-03
2020-03-21,The Brunch Place,The Brunch Place - Central,1,3.03,18.0,735.0,726.0,2020-03
2020-03-22,Louvré,Louvré,1,5.07,30.0,2069.0,2049.0,2020-03
2020-03-22,Pizzeria,Pizzeria - Central,8,17.53,46.0,3294.0,3153.0,2020-03
2020-03-22,The Beach,The Beach,3,13.059999999999999,38.0,2940.0,2885.0,2020-03
2020-03-22,The Brunch Place,The Brunch Place - Central,2,20.88,95.0,5385.0,5125.0,2020-03
2020-03-23,Louvré,Louvré,1,5.46,27.0,2166.0,2154.0,2020-03
2020-03-23,Pizzeria,Pizzeria - Central,8,18.41,51.0,3424.0,3278.0,2020-03
2020-03-23,The Beach,The Beach,3,12.649999999999999,28.0,2414.0,2337.0,2020-03
2020-03-23,The Brunch Place,The Brunch Place - Central,2,27.189999999999998,125.0,5462.0,5079.0,2020-03
2020-03-24,Louvré,Louvré,1,5.41,29.0,2094.0,2072.0,2020-03
2020-03-24,Pizzeria,Pizzeria - Central,9,19.03,54.0,3318.0,3167.0,2020-03
2020-03-24,The Beach,The Beach,3,9.33,20.0,1875.0,1815.0,2020-03
2020-03-24,The Brunch Place,The Brunch Place - Central,2,27.049999999999997,89.0,4338.0,3967.0,2020-03
2020-03-25,Louvré,Louvré,1,5.37,38.0,2244.0,2219.0,2020-03
2020-03-25,Pizzeria,Pizzeria - Central,9,28.080000000000002,64.0,5760.0,5439.0,2020-03
2020-03-25,The Beach,The Beach,2,7.16,20.0,1970.0,1930.0,2020-03
2020-03-25,The Brunch Place,The Brunch Place - Central,2,26.15,88.0,5235.0,4947.0,2020-03
2020-03-26,Louvré,Louvré,1,5.62,33.0,2313.0,2298.0,2020-03
2020-03-26,Pizzeria,Pizzeria - Central,9,28.229999999999997,62.0,5475.0,5273.0,2020-03
2020-03-26,The Beach,The Beach,2,7.48,26.0,1733.0,1689.0,2020-03
2020-03-26,The Brunch Place,The Brunch Place - Central,2,25.939999999999998,85.0,5511.0,5259.0,2020-03
2020-03-27,Louvré,Louvré,1,5.45,23.0,2071.0,2056.0,2020-03
2020-03-27,Pizzeria,Pizzeria - Central,9,37.31,87.0,7995.0,7691.0,2020-03
2020-03-27,The Beach,The Beach,2,7.46,18.0,1537.0,1514.0,2020-03
2020-03-27,The Brunch Place,The Brunch Place - Central,4,36.89,81.0,4639.0,4297.0,2020-03
2020-03-28,Louvré,Louvré,1,5.47,30.0,1683.0,1669.0,2020-03
2020-03-28,Pizzeria,Pizzeria - Central,9,37.39,53.0,7219.0,6870.0,2020-03
2020-03-28,The Beach,The Beach,3,12.469999999999999,148.0,2286.0,2203.0,2020-03
2020-03-28,The Brunch Place,The Brunch Place - Central,5,54.709999999999994,105.0,7741.0,7102.0,2020-03
2020-03-29,Louvré,Louvré,1,5.71,18.0,1626.0,1619.0,2020-03
2020-03-29,Pizzeria,Pizzeria - Central,9,37.540000000000006,60.0,6548.0,6255.0,2020-03
2020-03-29,The Beach,The Beach,3,12.32,108.0,2083.0,2034.0,2020-03
2020-03-29,The Brunch Place,The Brunch Place - Central,5,54.10000000000001,114.0,7002.0,6494.0,2020-03
2020-03-30,Louvré,Louvré,1,3.47,9.0,878.0,871.0,2020-03
2020-03-30,Pizzeria,Pizzeria - Central,9,32.16,48.0,4958.0,4720.0,2020-03
